gene_name,pvalue,log2FoldChange,disease,cell_type
ARHGAP31-AS1,0.002294694,-0.346797961,ALS,iPSMN
CLEC18B,0.002309634,-0.321217594,ALS,iPSMN
AC091825.3,0.002324176,0.160273953,ALS,iPSMN
MCRS1,0.002327875,-0.072676422,ALS,iPSMN
SATB1,0.002335784,-0.139638828,ALS,iPSMN
TRPC7,0.002343139,-0.529641784,ALS,iPSMN
AC093866.1,0.002349649,0.331664995,ALS,iPSMN
AC091057.1,0.002367606,-0.446342308,ALS,iPSMN
WDSUB1,0.002379787,0.114600473,ALS,iPSMN
TSC22D3,0.002392335,-0.116586207,ALS,iPSMN
SOHLH1,0.002407855,0.541713805,ALS,iPSMN
AL008628.1,0.002437795,-0.352288142,ALS,iPSMN
CFAP410,0.002438004,-0.100972037,ALS,iPSMN
PITPNB,0.002439043,0.057310462,ALS,iPSMN
NRBF2,0.002464868,0.079247471,ALS,iPSMN
NUP58,0.002478818,0.082616098,ALS,iPSMN
CASQ2,0.002481427,-0.780641561,ALS,iPSMN
C2orf66,0.002485557,0.294527977,ALS,iPSMN
POLR2J3,0.002486494,-0.213943794,ALS,iPSMN
PPP2R2A,0.002513815,0.110384812,ALS,iPSMN
NUP50,0.002521483,0.077058894,ALS,iPSMN
THAP1,0.002545023,0.102799013,ALS,iPSMN
AC009312.1,0.002547876,-0.382126076,ALS,iPSMN
ESPN,0.002550733,-0.41716626,ALS,iPSMN
LIG4,0.00256883,0.107804359,ALS,iPSMN
HMOX1,0.002584425,0.230130108,ALS,iPSMN
SNN,0.002591319,-0.089981143,ALS,iPSMN
AC010319.3,0.002612738,0.523987554,ALS,iPSMN
MYLPF,0.002640831,-0.536547395,ALS,iPSMN
A2M-AS1,0.002652049,-0.246388576,ALS,iPSMN
NME5,0.002667107,-0.22391357,ALS,iPSMN
MCF2L,0.002680388,-0.128583863,ALS,iPSMN
ARCN1,0.00268337,0.084901622,ALS,iPSMN
LRRC75A,0.002698729,-0.189578645,ALS,iPSMN
SAR1B,0.002707392,0.092113788,ALS,iPSMN
BCKDK,0.002715979,-0.091915545,ALS,iPSMN
DNAJC1,0.002720768,0.142911301,ALS,iPSMN
FRMPD2B,0.002731045,0.827181773,ALS,iPSMN
DLG2,0.002755843,-0.172684933,ALS,iPSMN
SLC33A1,0.002801137,0.076254886,ALS,iPSMN
FDXR,0.002807451,0.16049042,ALS,iPSMN
TRIM55,0.002807764,-0.646689375,ALS,iPSMN
AC005277.2,0.00280961,0.804039195,ALS,iPSMN
M6PR,0.002812345,0.082395055,ALS,iPSMN
RABGEF1,0.002832889,0.059958218,ALS,iPSMN
AC005225.4,0.002834798,0.263120433,ALS,iPSMN
HPS5,0.002872672,0.102174939,ALS,iPSMN
AC113189.4,0.002890049,0.384847874,ALS,iPSMN
PDZRN4,0.002891623,0.307297351,ALS,iPSMN
ZNF654,0.002897697,0.090155478,ALS,iPSMN
PLPPR4,0.002901297,-0.28098367,ALS,iPSMN
NOMO3,0.00290605,0.134095707,ALS,iPSMN
RFX8,0.002929961,0.432221065,ALS,iPSMN
CPTP,0.00296475,-0.104881465,ALS,iPSMN
UBE2J2,0.002971063,-0.060048077,ALS,iPSMN
HOXD10,0.003010437,-0.76792719,ALS,iPSMN
AATK,0.0030152,-0.131695041,ALS,iPSMN
AL928654.1,0.003022608,-0.189899601,ALS,iPSMN
DHX30,0.003029381,-0.043642073,ALS,iPSMN
AC239809.3,0.003054145,0.359438573,ALS,iPSMN
OBSL1,0.00305947,-0.096982483,ALS,iPSMN
NYNRIN,0.003060366,-0.139135733,ALS,iPSMN
SNTG1,0.003077014,-0.31132961,ALS,iPSMN
AL132780.1,0.003082997,0.371000184,ALS,iPSMN
ZBTB45,0.003085357,-0.096381883,ALS,iPSMN
CENPB,0.003137323,-0.125259583,ALS,iPSMN
CCDC141,0.003151402,-0.61290589,ALS,iPSMN
AC008875.3,0.00316453,-0.480607427,ALS,iPSMN
ACOX1,0.003169347,-0.085014686,ALS,iPSMN
AC009108.3,0.003198104,0.277281107,ALS,iPSMN
SMG1P7,0.003201962,0.153717492,ALS,iPSMN
ALDH8A1,0.003226708,0.260723867,ALS,iPSMN
SEC24A,0.003228212,0.078982951,ALS,iPSMN
MYL4,0.003247862,-0.732271313,ALS,iPSMN
RNMT,0.003264756,0.094552221,ALS,iPSMN
RPL23AP53,0.003272066,0.171232403,ALS,iPSMN
MTHFS,0.003284285,0.184241251,ALS,iPSMN
AL445433.1,0.003300966,-0.546188499,ALS,iPSMN
HSD11B1L,0.003313943,-0.105687656,ALS,iPSMN
